Variant Annotation ID	Variant/Haplotypes	Drug(s)	Phenotype Category	Significance	Sentence	Allele Of Frequency In Cases	Allele Of Frequency In Controls	P Value	Ratio Stat Type	Ratio Stat	Confidence Interval Start	Confidence Interval Stop
1450808664	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	rabeprazole	Efficacy	yes	Genotypes *1/*2 + *1/*3 + *2/*2 + *2/*3 + *3/*3 are associated with increased response to rabeprazole in people with Helicobacter Infections as compared to genotype *1/*1.			= 0.002	OR	7.129	2.054	24.746
1450808664	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	rabeprazole	Efficacy	yes	Genotypes *1/*2 + *1/*3 + *2/*2 + *2/*3 + *3/*3 are associated with increased response to rabeprazole in people with Helicobacter Infections as compared to genotype *1/*1.			= 0.0376	OR	9.967	1.14	87.114
1448123532	CYP2C19 intermediate metabolizers	voriconazole	Dosage	no	CYP2C19 intermediate metabolizers are not associated with dose of voriconazole as compared to CYP2C19 normal metabolizers.			= 0.13	OR			
1448123522	CYP2C19 poor metabolizers	voriconazole	Efficacy	yes	CYP2C19 poor metabolizers are associated with increased response to voriconazole as compared to CYP2C19 normal metabolizers.			= 0.02	RR	1.31	1.04	1.67
1448123522	CYP2C19 poor metabolizers	voriconazole	Efficacy	yes	CYP2C19 poor metabolizers are associated with increased response to voriconazole as compared to CYP2C19 normal metabolizers.			= 0.07	RR	0.88	0.77	1.01
1448123522	CYP2C19 poor metabolizers	voriconazole	Efficacy	yes	CYP2C19 poor metabolizers are associated with increased response to voriconazole as compared to CYP2C19 normal metabolizers.			= 0.13	RR	1.14	0.96	1.35
1448123522	CYP2C19 poor metabolizers	voriconazole	Efficacy	yes	CYP2C19 poor metabolizers are associated with increased response to voriconazole as compared to CYP2C19 normal metabolizers.			= 0.37	RR	0.94	0.83	1.07
1450808871	CYP2A6 low activity	nicotine	Dosage	yes	CYP2A6 low activity is associated with decreased dose of nicotine in people with Tobacco Use Disorder.			= 0.003	OR			
1450808871	CYP2A6 low activity	nicotine	Dosage	yes	CYP2A6 low activity is associated with decreased dose of nicotine in people with Tobacco Use Disorder.			= 0.003	OR			
1450808871	CYP2A6 low activity	nicotine	Dosage	yes	CYP2A6 low activity is associated with decreased dose of nicotine in people with Tobacco Use Disorder.			= 0.12	OR			
1450808871	CYP2A6 low activity	nicotine	Dosage	yes	CYP2A6 low activity is associated with decreased dose of nicotine in people with Tobacco Use Disorder.			= 0.2	OR			
1450808871	CYP2A6 low activity	nicotine	Dosage	yes	CYP2A6 low activity is associated with decreased dose of nicotine in people with Tobacco Use Disorder.			= 0.79	OR			
1449154360	UGT2B7	buprenorphine	Efficacy	yes	Genotype *2 is associated with decreased response to buprenorphine in people with Pain as compared to genotype *1.			< 0.05	OR			
1183622993	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux.	*1		= 0.227	Unknown			
1183622976	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux.	*1		= 0.227	Unknown			
1183622976	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux.	*1		= 0.232	Unknown			
1183622976	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux.	*1		= 0.276	Unknown			
1183622976	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux.	*1		= 0.326	Unknown			
1183688996	CYP2D6 poor metabolizer	atomoxetine	Dosage	yes	CYP2D6 poor metabolizer is associated with decreased dose of atomoxetine in children with Attention Deficit Disorder with Hyperactivity as compared to CYP2D6 normal metabolizer.			< 0.05	OR			
1183688968	CYP2D6 poor metabolizer	atomoxetine	Efficacy	yes	CYP2D6 poor metabolizer is associated with increased response to atomoxetine in children with Attention Deficit Disorder with Hyperactivity as compared to CYP2D6 normal metabolizers.			= 0.045	OR			
1451153666	CYP2D6 poor metabolizer phenotype	oxycodone	Efficacy	not stated	CYP2D6 poor metabolizer phenotype is associated with decreased response to oxycodone in women with Neoplasms and Pain as compared to CYP2D6 normal metabolizer phenotype.							
981420009	CYP2C9*2	acenocoumarol	Dosage	not stated	CYP2C9 *2 is associated with dose of acenocoumarol in people with a stable maintence dose.	*2			Unknown			
1183634033	CYP2C19*1	lafutidine	Efficacy	no	CYP2C19 *1/*1 is not associated with response to lafutidine in healthy individuals.	*1		> 0.05	OR			
981420013	CYP2C9*3	acenocoumarol	Dosage	not stated	CYP2C9 *3 is associated with dose of acenocoumarol in people with a stable maintence dose.	*3			Unknown			
981940074	CYP2C9*3	acenocoumarol	Dosage	yes	CYP2C9 *3 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*3		< 1.0E-4	Unknown			
981940169	CYP2C9*6	acenocoumarol	Efficacy	no	CYP2C9 *6 is not associated with increased response to acenocoumarol as compared to CYP2C9 *1.	*6			Unknown			
1043818268	CYP2C9*2	phenprocoumon	Dosage	no	CYP2C9 *2 is not associated with decreased dose of phenprocoumon as compared to CYP2C9 *1.	*2			Unknown			
982043913	CYP2C9*2	warfarin	Dosage	yes	CYP2C9 *2 is associated with decreased dose of warfarin as compared to CYP2C9 *1.			< 1.0E-4	Unknown			
981483891	HLA-DRB1*15:01:01:01	glatiramer acetate	Efficacy	yes	HLA-DRB1 *15:01:01:01 is associated with decreased response to glatiramer acetate in people with Multiple Sclerosis.			= 0.0056	OR	0.072	0.002	0.28
981483891	HLA-DRB1*15:01:01:01	glatiramer acetate	Efficacy	yes	HLA-DRB1 *15:01:01:01 is associated with decreased response to glatiramer acetate in people with Multiple Sclerosis.			= 0.013	OR	0.065	0.008	0.52
981483891	HLA-DRB1*15:01:01:01	glatiramer acetate	Efficacy	yes	HLA-DRB1 *15:01:01:01 is associated with decreased response to glatiramer acetate in people with Multiple Sclerosis.			= 0.049	OR	0.43	0.23	0.81
981934182	CYP2C9*3	acenocoumarol	Dosage	yes	CYP2C9 *3 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*3		< 0.001	Unknown			
981940175	CYP2C9*11	acenocoumarol	Efficacy	no	CYP2C9 *11 is not associated with increased response to acenocoumarol as compared to CYP2C9 *1.	*11			Unknown			
981940156	CYP2C9*9	acenocoumarol	Efficacy	no	CYP2C9 *9 is not associated with increased response to acenocoumarol as compared to CYP2C9 *1.	*9			Unknown			
981934149	CYP2C9*3	acenocoumarol	Dosage	yes	CYP2C9 *3 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*3			Unknown			
981954118	CYP2C9*2	acenocoumarol	Efficacy	yes	CYP2C9 *2 is associated with increased response to acenocoumarol as compared to CYP2C9 *1.				Unknown			
981865137	CYP2C9*3	acenocoumarol	Efficacy	yes	CYP2C9 *3 is associated with increased response to acenocoumarol in healthy individuals as compared to CYP2C9 *1.	*3			Unknown			
827807419	CYP2C9*1	warfarin	Dosage	yes	CYP2C9 *1/*1 is associated with increased dose of warfarin.			= 0.005	Unknown			
827824618	CYP2A6*1A	tegafur	Efficacy	no	CYP2A6 *1A is not associated with response to tegafur in people with Neoplasms.	*1A			Unknown			
1450374173	CYP2D6 poor and ultrarapid metabolizers	methadone	Dosage	no	CYP2D6 poor and ultrarapid metabolizers are not associated with dose of methadone in people with Opioid-Related Disorders as compared to CYP2D6 normal metabolizers.			= 0.92	OR			
981502166	CYP2B6*6	mirtazapine	Efficacy	yes	CYP2B6 *6/*6 is associated with increased response to mirtazapine in people with Depression.			= 0.016	Unknown			
982010010	CYP2C9*1	acenocoumarol	Dosage	yes	CYP2C9 *1/*1 is associated with increased dose of acenocoumarol.	*1		= 0.0011	Unknown			
981934227	CYP2C9*2	acenocoumarol	Dosage	yes	CYP2C9 *2 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*2		< 0.05	Unknown			
981934157	CYP2C9*2	acenocoumarol	Dosage	yes	CYP2C9 *2 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*2			Unknown			
982006745	CYP2C9*3	acenocoumarol	Dosage	yes	CYP2C9 *3 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*3		= 0.03	OR	3.4	1.41	8.34
981954438	CYP2C9*1	acenocoumarol	Dosage	no	CYP2C9 *1 is not associated with increased dose of acenocoumarol as compared to CYP2C9 *2 + *3.	*2	*3		Unknown			
982010082	CYP2C9*1	acenocoumarol	Dosage	yes	CYP2C9 *1/*1 is associated with increased dose of acenocoumarol.	*1		= 0.0023	Unknown			
982015075	CYP2C9*2	acenocoumarol	Dosage	yes	CYP2C9 *2 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*2		< 0.001	Unknown			
982043919	CYP2C9*3	warfarin	Dosage	yes	CYP2C9 *3 is associated with decreased dose of warfarin as compared to CYP2C9 *1.			< 1.0E-4	Unknown			
981954738	CYP2D6*3	tropisetron	Efficacy	yes	CYP2D6 *3/*3 is associated with decreased metabolism of tropisetron in people with Neoplasms.			< 0.03	Unknown			
982047473	CYP2C19*2	clopidogrel	Efficacy	yes	CYP2C19 *2 is associated with decreased response to clopidogrel in people with Myocardial Ischemia as compared to CYP2C19 *1.	*2		= 0.04	Unknown			
982047486	CYP2C19*17	clopidogrel	Efficacy	no	CYP2C19 *17 is not associated with increased response to clopidogrel in people with Myocardial Ischemia as compared to CYP2C19 *1.	*17		= 0.4	Unknown			
1043818258	CYP2C9*3	phenprocoumon	Dosage	yes	CYP2C9 *3 is associated with decreased dose of phenprocoumon as compared to CYP2C9 *1.	*3			Unknown			
1183623682	CYP2C19*1	pantoprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to pantoprazole in people with Helicobacter Infections.	*1		= 0.137	Unknown			
1183621475	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Gastroesophageal Reflux.	*1			Unknown			
1183491857	CYP2C19*1	clopidogrel	Efficacy	yes	CYP2C19 *1/*1 is associated with increased response to clopidogrel in people with Coronary Artery Disease as compared to CYP2C19 *1/*2 + *2/*2.	*1		= 0.043	OR	2.9	1.01	8.39
1183680182	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Helicobacter Infections.	*1		> 0.05	OR			
1183679483	CYP2C19*1	esomeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to esomeprazole in people with Helicobacter Infections.			= 0.414	OR	0.62	0.2	1.94
1183679483	CYP2C19*1	esomeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to esomeprazole in people with Helicobacter Infections.			= 0.44	OR	0.64	0.21	1.98
1183679483	CYP2C19*1	esomeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to esomeprazole in people with Helicobacter Infections.			= 0.999	OR	1.0	0.41	2.44
1183679635	CYP2C19*1	lansoprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to lansoprazole in people with Helicobacter Infections.	*1		> 0.05	OR			
1183680124	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Helicobacter Infections.	*1		= 0.096	OR			
1183680124	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Helicobacter Infections.	*1		= 0.169	OR			
1183684386	CYP2D6 poor metabolizers	imipramine	Dosage	not stated	CYP2D6 poor metabolizers are associated with decreased dose of imipramine in people with Diabetic Neuropathies as compared to CYP2D6 normal metabolizer phenotype.				OR			
1183701586	CYP2C9*6	warfarin	Dosage	no	CYP2C9 *6/*6 is associated with decreased dose of warfarin.				OR			
1183682020	CYP2D6 poor metabolizer genotype	tramadol	Dosage	no	CYP2D6 poor metabolizer genotype is associated with decreased dose of tramadol in people with Pain.			> 0.05	OR			
1183679613	CYP2C19*1	omeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to omeprazole in people with Helicobacter Infections.	*1		> 0.05	OR			
1183679628	CYP2C19*1	lafutidine	Efficacy	no	CYP2C19 *1/*1 is not associated with response to lafutidine in people with Helicobacter Infections.	*1		> 0.05	OR			
1183680085	CYP2C19*1	lansoprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to lansoprazole in people with Helicobacter Infections.	*1		= 0.303	OR			
1183679621	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Helicobacter Infections.	*1		> 0.05	OR			
1445296755	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clopidogrel	Efficacy	yes	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to clopidogrel as compared to CYP2C19 normal metabolizer genotype.				RR	1.27	1.18	1.36
1445296755	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clopidogrel	Efficacy	yes	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to clopidogrel as compared to CYP2C19 normal metabolizer genotype.				RR	1.73	1.47	2.05
1445296755	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clopidogrel	Efficacy	yes	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to clopidogrel as compared to CYP2C19 normal metabolizer genotype.				RR	1.2	1.1	1.31
1445296755	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clopidogrel	Efficacy	yes	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to clopidogrel as compared to CYP2C19 normal metabolizer genotype.				RR	1.91	1.61	2.27
1445296755	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clopidogrel	Efficacy	yes	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to clopidogrel as compared to CYP2C19 normal metabolizer genotype.				RR	4.88	3.05	7.8
1445296755	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	clopidogrel	Efficacy	yes	CYP2C19 poor metabolizer and intermediate metabolizer genotypes are associated with decreased response to clopidogrel as compared to CYP2C19 normal metabolizer genotype.				RR	0.99	0.84	1.17
1448267948	CYP2C9*3	warfarin	Dosage	not stated	CYP2C9 *3 is associated with dose of warfarin in people with Stroke.	*3			OR			
1449717757	CYP2D6*4	carvedilol	Dosage	no	CYP2D6 *4 is associated with increased dose of carvedilol in people with Heart Failure.	*4		= 0.093	OR	2.94	0.84	10.3
1448603449	CYP2C19 ultrarapid metabolizer genotype	pantoprazole	Efficacy	no	CYP2C19 ultra-metabolizer genotype is associated with increased response to pantoprazole in people with Helicobacter Infections as compared to CYP2C19 poor metabolizer genotype.			= 0.78	OR			
1449164047	CYP2C9 normal metabolizers	warfarin	Dosage	yes	CYP2C9 normal metabolizers are associated with increased dose of warfarin as compared to CYP2C9 poor metabolizers and intermediate metabolizers.			= 4.1E-36	OR			
1449164060	VKORC1 low activity	warfarin	Dosage	yes	VKORC1 low activity is associated with decreased dose of warfarin.			= 4.63E-72	OR			
982036531	CYP3A5*6	verapamil	Efficacy	no	CYP3A5 *6 is not associated with response to verapamil in people with Hypertension as compared to CYP3A5 *1A.				Unknown			
982036539	CYP3A5*3	verapamil	Efficacy	no	CYP3A5 *3 is not associated with response to verapamil in people with Hypertension as compared to CYP3A5 *1A.				Unknown			
982044254	CYP3A5*3	atorvastatin	Efficacy	yes	CYP3A5 *3/*3 is associated with decreased response to atorvastatin in people with Hypercholesterolemia as compared to CYP3A5 *1A/*1A + *1A/*3.			= 0.028	Unknown			
982044254	CYP3A5*3	atorvastatin	Efficacy	yes	CYP3A5 *3/*3 is associated with decreased response to atorvastatin in people with Hypercholesterolemia as compared to CYP3A5 *1A/*1A + *1A/*3.			= 0.822	Unknown			
