Variant Annotation ID	Variant/Haplotypes	Drug(s)	Phenotype Category	Significance	Sentence	Allele Of Frequency In Cases	Allele Of Frequency In Controls	P Value	Ratio Stat Type	Ratio Stat	Confidence Interval Start	Confidence Interval Stop
1447681058	CYP2C19*1, CYP2C19*2	voriconazole	Metabolism/PK	no	CYP2C19 *1/*2 + *2/*2 is not associated with dose of voriconazole in people with Mycoses as compared to CYP2C19 *1/*1.	*2		= 0.051	OR			
1447681058	CYP2C19*1, CYP2C19*2	voriconazole	Metabolism/PK	no	CYP2C19 *1/*2 + *2/*2 is not associated with dose of voriconazole in people with Mycoses as compared to CYP2C19 *1/*1.	*2		= 0.251	OR			
1183623314	CYP2C19*1, CYP2C19*2, CYP2C19*3	omeprazole	Efficacy	no	CYP2C19 *1/*2 + *1/*3 are not associated with response to omeprazole in people with Ulcer as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.05	Unknown			
1450372533	CYP2C19*1, CYP2C19*2, CYP2C19*3	voriconazole	Metabolism/PK	yes	CYP2C19 *2/*2 + *2/*3 is associated with decreased metabolism of voriconazole in people with as compared to CYP2C19 *1/*1.	*2	*3	= 0.008	OR			
1450372533	CYP2C19*1, CYP2C19*2, CYP2C19*3	voriconazole	Metabolism/PK	yes	CYP2C19 *2/*2 + *2/*3 is associated with decreased metabolism of voriconazole in people with as compared to CYP2C19 *1/*1.	*2	*3	= 0.041	OR			
1445143678	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *3/*3 is associated with increased concentrations of tacrolimus in people with Lupus Nephritis as compared to CYP3A5 *1/*3 + *1/*1.	*1		= 0.002	OR			
1447519344	CYP2C9*1, CYP2C9*2, CYP2C9*3	warfarin	Dosage	not stated	CYP2C9 *2 + *3 are associated with decreased dose of warfarin as compared to CYP2C9 *1/*1.				OR			
1448567934	CYP3A5*1, CYP3A5*3	sirolimus	Metabolism/PK	no	CYP3A5 *1 is not associated with dose-adjusted trough concentrations of sirolimus in people with Kidney Transplantation as compared to CYP3A5 *3.	*1		> 0.05	OR			
1448109167	CYP2D6*1, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6, CYP2D6*9, CYP2D6*10, CYP2D6*41	3,4-methylenedioxymethamphetamine	Efficacy	yes	CYP2D6 *4/*4 + *3/*5 is associated with increased response to 3,4-methylenedioxymethamphetamine as compared to CYP2D6 *1/*4 + *1/*3 + *1/*6 + *2/*4 + *2/*5 + *9/*10 + *1/*41 + *1/*10 + *1/*9 + *2/*10 + *2/*41 + *1/*1 + *1/*2 + *2/*2.			< 0.01	OR			
1184996788	CYP2C9*1, CYP2C9*2	acenocoumarol	Dosage	not stated	CYP2C9 *1/*2 + *2/*2 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1/*1.				OR			
1184472493	CYP2C19*1, CYP2C19*2, CYP2C19*3	clopidogrel	Metabolism/PK	not stated	CYP2C19 *2/*2 + *2/*3 (assigned as poor metabolizers phenotype) is associated with decreased metabolism of clopidogrel in healthy individuals as compared to CYP2C19 *1/*1 (assigned as normal metabolizer phenotype) .				OR			
1184996801	CYP2C9*1, CYP2C9*3	acenocoumarol	Dosage	not stated	CYP2C9 *1/*3 + *3/*3 is associated with decreased dose of acenocoumarol as compared to CYP2C9 *1/*1.				OR			
1447945286	UGT1A1*1, UGT1A1*6, UGT1A1*28	irinotecan	Efficacy	no	UGT1A1 *6/*6 + *6/*28 + *28/*28 is not associated with response to irinotecan in people with Neoplasms as compared to UGT1A1 *1/*6 + *1/*28.				OR			
1451208192	CYP2D6*1, CYP2D6*10	fentanyl	Dosage	yes	CYP2D6 *10/*10 is associated with increased dose of fentanyl in people with Gastrointestinal Neoplasms and Pain, Postoperative as compared to CYP2D6 *1/*1.			< 0.05				
1183622736	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	no	CYP2C19 *1/*2 + *1/*3 are not associated with response to lansoprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		> 0.05	Unknown			
1183622736	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	no	CYP2C19 *1/*2 + *1/*3 are not associated with response to lansoprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.13	Unknown			
1183622736	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	no	CYP2C19 *1/*2 + *1/*3 are not associated with response to lansoprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.19	Unknown			
1448567850	CYP3A5*1, CYP3A5*3	sirolimus	Metabolism/PK	yes	CYP3A5 *3/*3 is associated with increased dose-adjusted trough concentrations of sirolimus in people with Kidney Transplantation as compared to CYP3A5 *1/*1 + *1/*3.	*3		< 0.05	OR			
1444930553	CYP2D6*1, CYP2D6*10	4-hydroxytamoxifen	Metabolism/PK	yes	CYP2D6 *10/*10 is associated with decreased concentrations of 4-hydroxytamoxifen in women with Breast Neoplasms as compared to CYP2D6 *1/*1.			= 0.04	OR			
1183620712	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	yes	CYP2C19 *1/*2 + *1/*3 is associated with decreased response to rabeprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.05	Unknown			
1183620712	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	yes	CYP2C19 *1/*2 + *1/*3 is associated with decreased response to rabeprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.05	Unknown			
1444930567	CYP2D6*1, CYP2D6*10	tamoxifen	Metabolism/PK	no	CYP2D6 *10/*10 is not associated with decreased concentrations of tamoxifen in women with Breast Neoplasms as compared to CYP2D6 *1/*1.			= 0.78	OR			
1451241020	CYP2A6*1A, CYP2A6*2, CYP2A6*4A, CYP2A6*9, CYP2A6*12	letrozole	Metabolism/PK	yes	CYP2A6 *1A/*1A (assigned as normal metabolizer phenotype) is associated with decreased concentrations of letrozole in women with Breast Neoplasms as compared to CYP2A6 *1A/*2 + *1A/*4A + *1A/*9 + *1A/*12 + *9/*9 (assigned as poor metabolizers and intermediate metabolizers phenotype) .			< 0.0001	OR		22.63	50.47
1448109032	CYP2D6*1, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6, CYP2D6*9, CYP2D6*10, CYP2D6*41	3,4-methylenedioxymethamphetamine	Metabolism/PK	yes	CYP2D6 *4/*4 + *3/*5 is associated with decreased metabolism of 3,4-methylenedioxymethamphetamine as compared to CYP2D6 *1/*4 + *1/*3 + *1/*6 + *2/*4 + *2/*5 + *9/*10 + *1/*41 + *1/*10 + *1/*9 + *2/*10 + *2/*41 + *1/*1 + *1/*2 + *2/*2.			< 0.05	OR			
1447945146	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*5	mercaptopurine	Metabolism/PK	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased metabolism of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*3 + *1/*5 + *2/*3 + *3/*3 + *3/*5 (assigned as intermediate and low activity phenotype) .			= 2.2E-8	OR			
1447945146	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*5	mercaptopurine	Metabolism/PK	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased metabolism of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*3 + *1/*5 + *2/*3 + *3/*3 + *3/*5 (assigned as intermediate and low activity phenotype) .			= 7.7E-5	OR			
1447945146	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*5	mercaptopurine	Metabolism/PK	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased metabolism of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*3 + *1/*5 + *2/*3 + *3/*3 + *3/*5 (assigned as intermediate and low activity phenotype) .			= 2.9E-4	OR			
1184469950	CYP2C19*1, CYP2C19*2, CYP2C19*8, CYP2C19*17	prasugrel	Efficacy,Metabolism/PK	no	CYP2C19 *1/*2 + *1/*8 + *2/*2 (assigned as poor metabolizer genotype phenotype) is not associated with response to prasugrel in people with Coronary Artery Disease as compared to CYP2C19 *1/*1 + *1/*17 + *17/*17 (assigned as normal metabolizer genotype phenotype) .			> 0.05	OR			
1448567727	CYP3A5*1, CYP3A5*3	sirolimus	Metabolism/PK	no	CYP3A5 *1/*3 is not associated with metabolism of sirolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.				OR			
1450815182	CYP2D6*4, CYP2D6*5	venlafaxine	Metabolism/PK	not stated	CYP2D6 *4/*5 is associated with decreased metabolism of venlafaxine.							
1448567714	CYP3A4*1, CYP3A4*22	sirolimus	Metabolism/PK	no	CYP3A4 *1/*22 + *22/*22 are not associated with metabolism of sirolimus in people with Kidney Transplantation as compared to CYP3A4 *1/*1.				OR			
1183679954	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	no	CYP2C19 *1/*2 + *1/*3 are not associated with response to lansoprazole in men with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		> 0.05	OR			
1450372838	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1 is associated with increased clearance of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3.	*3			OR			
1184472866	CYP2C9*1, CYP2C9*2	warfarin	Dosage	no	CYP2C9 *1/*2 is associated with decreased dose of warfarin in children as compared to CYP2C9 *1/*1.			= 0.51	OR			
1449275114	CYP2C19*1, CYP2C19*2, CYP2C19*3	voriconazole	Metabolism/PK	yes	CYP2C19 *2 + *3 is associated with increased concentrations of voriconazole in people with Kidney Transplantation as compared to CYP2C19 *1.			< 0.001	OR			
1449275114	CYP2C19*1, CYP2C19*2, CYP2C19*3	voriconazole	Metabolism/PK	yes	CYP2C19 *2 + *3 is associated with increased concentrations of voriconazole in people with Kidney Transplantation as compared to CYP2C19 *1.			= 0.015	OR			
1449275114	CYP2C19*1, CYP2C19*2, CYP2C19*3	voriconazole	Metabolism/PK	yes	CYP2C19 *2 + *3 is associated with increased concentrations of voriconazole in people with Kidney Transplantation as compared to CYP2C19 *1.			= 0.228	OR			
1444930474	CYP2D6*1, CYP2D6*2, CYP2D6*5, CYP2D6*10, CYP2D6*41	4-hydroxytamoxifen,n-desmethyltamoxifen,tamoxifen	Metabolism/PK	no	CYP2D6 *10/*10 + *10/*41 + *1/*5 + *2/*5 + *5/*10 are not associated with decreased concentrations of 4-hydroxytamoxifen, n-desmethyltamoxifen and tamoxifen in women with Breast Neoplasms as compared to CYP2D6 *1/*1 + *1/*2 + *2/*2.			= 0.06	OR			
1444930474	CYP2D6*1, CYP2D6*2, CYP2D6*5, CYP2D6*10, CYP2D6*41	4-hydroxytamoxifen,n-desmethyltamoxifen,tamoxifen	Metabolism/PK	no	CYP2D6 *10/*10 + *10/*41 + *1/*5 + *2/*5 + *5/*10 are not associated with decreased concentrations of 4-hydroxytamoxifen, n-desmethyltamoxifen and tamoxifen in women with Breast Neoplasms as compared to CYP2D6 *1/*1 + *1/*2 + *2/*2.			= 0.13	OR			
1444930474	CYP2D6*1, CYP2D6*2, CYP2D6*5, CYP2D6*10, CYP2D6*41	4-hydroxytamoxifen,n-desmethyltamoxifen,tamoxifen	Metabolism/PK	no	CYP2D6 *10/*10 + *10/*41 + *1/*5 + *2/*5 + *5/*10 are not associated with decreased concentrations of 4-hydroxytamoxifen, n-desmethyltamoxifen and tamoxifen in women with Breast Neoplasms as compared to CYP2D6 *1/*1 + *1/*2 + *2/*2.			= 0.39	OR			
1448568158	CYP3A4*1, CYP3A4*22	tacrolimus	Metabolism/PK	no	CYP3A4 *1/*22 + *22/*22 are not associated with metabolism of tacrolimus in children with liver transplantation as compared to CYP3A4 *1/*1.	*22			OR			
1450372870	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*3 is associated with increased metabolism of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1		< 0.0001	OR			
1450372870	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*3 is associated with increased metabolism of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1		= 0.000856	OR			
1450372870	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*3 is associated with increased metabolism of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1		= 0.0027	OR			
1446896464	CYP2D6*21, CYP2D6*36xN	debrisoquine	Metabolism/PK	not stated	CYP2D6 *21/*36xN (assigned as poor metabolizers phenotype) is associated with decreased metabolism of debrisoquine.				OR			
1447681039	CYP2C19*1, CYP2C19*2	voriconazole	Metabolism/PK	no	CYP2C19 *1/*2 + *2/*2 is not associated with dose-adjusted trough concentrations of voriconazole in people with Mycoses as compared to CYP2C19 *1/*1.	*2		= 0.222	OR			
1447681039	CYP2C19*1, CYP2C19*2	voriconazole	Metabolism/PK	no	CYP2C19 *1/*2 + *2/*2 is not associated with dose-adjusted trough concentrations of voriconazole in people with Mycoses as compared to CYP2C19 *1/*1.	*2		= 0.448	OR			
1183620899	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	yes	CYP2C19 *1/*2 + *1/*3 is associated with decreased response to lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.0388	Unknown			
1183620899	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	yes	CYP2C19 *1/*2 + *1/*3 is associated with decreased response to lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.0388	Unknown			
1183620883	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.0176	Unknown			
1183620883	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.0446	Unknown			
1447945037	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*4, NUDT15*5	mercaptopurine	Dosage	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*2 + *1/*3 + *1/*4 + *1/*5 + *3/*3 + *3/*5 + *2/*3 (assigned as intermediate and low activity phenotype) .			= 4.45E-8	OR			
1447945037	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*4, NUDT15*5	mercaptopurine	Dosage	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*2 + *1/*3 + *1/*4 + *1/*5 + *3/*3 + *3/*5 + *2/*3 (assigned as intermediate and low activity phenotype) .			= 2.1E-5	OR			
1447945037	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*4, NUDT15*5	mercaptopurine	Dosage	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*2 + *1/*3 + *1/*4 + *1/*5 + *3/*3 + *3/*5 + *2/*3 (assigned as intermediate and low activity phenotype) .			= 0.0054	OR			
1447945037	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*4, NUDT15*5	mercaptopurine	Dosage	yes	NUDT15 *1/*1 (assigned as high activity phenotype) is associated with increased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*2 + *1/*3 + *1/*4 + *1/*5 + *3/*3 + *3/*5 + *2/*3 (assigned as intermediate and low activity phenotype) .			= 0.021	OR			
1448567637	CYP2C9*1, CYP2C9*3	warfarin	Dosage	yes	CYP2C9 *1/*3 + *3/*3 are associated with decreased dose of warfarin in people with heart valve replacement as compared to CYP2C9 *1/*1.			< 0.01	OR			
1449275137	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *3/*3 is associated with decreased clearance of tacrolimus in children with Nephrotic Syndrome as compared to CYP3A5 *1/*1.			= 0.005	OR			
1444930388	CYP2D6*1, CYP2D6*2, CYP2D6*5, CYP2D6*10, CYP2D6*41	endoxifen	Metabolism/PK	yes	CYP2D6 *10/*10 + *10/*41 + *1/*5 + *2/*5 + *5/*10 are associated with decreased concentrations of endoxifen in women with Breast Neoplasms as compared to CYP2D6 *1/*1 + *1/*2 + *2/*2.			= 0.0001	OR			
1449750346	NUDT15*1, NUDT15*2, NUDT15*3, NUDT15*5, NUDT15*6	mercaptopurine	Dosage,Toxicity	no	NUDT15 *1/*3 is associated with decreased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*1 + *1/*5 + *1/*6 + *1/*2.				OR			
1447813900	CYP2D6*1, CYP2D6*10	atomoxetine	Metabolism/PK	yes	CYP2D6 *10/*10 is associated with decreased clearance of atomoxetine in healthy individuals as compared to CYP2D6 *1/*1 + *1/*10.			= 0.002	OR			
1447814077	NAT1*3, NAT1*4, NAT1*10	mesalazine,thioguanine	Metabolism/PK	yes	NAT1 *10 is associated with decreased concentrations of mesalazine and thioguanine in children with Colitis, Ulcerative, Crohn Disease and Inflammatory Bowel Diseases as compared to NAT1 *4 + *3.			= 0.033	OR			
1183620937	CYP2C19*1, CYP2C19*2, CYP2C19*3	famotidine,lansoprazole	Efficacy	yes	CYP2C19 *1/*2 + *1/*3 is associated with decreased response to famotidine and lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.0388	Unknown			
1183620937	CYP2C19*1, CYP2C19*2, CYP2C19*3	famotidine,lansoprazole	Efficacy	yes	CYP2C19 *1/*2 + *1/*3 is associated with decreased response to famotidine and lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.05	Unknown			
1183620915	CYP2C19*1, CYP2C19*2, CYP2C19*3	famotidine,lansoprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to famotidine and lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.0285	Unknown			
1183620915	CYP2C19*1, CYP2C19*2, CYP2C19*3	famotidine,lansoprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to famotidine and lansoprazole in healthy individuals as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.	*1		= 0.05	Unknown			
1448567540	CYP3A5*1, CYP3A5*3	pioglitazone	Metabolism/PK	no	CYP3A5 *3/*3 is not associated with metabolism of pioglitazone as compared to CYP3A5 *1/*1.			> 0.05	OR			
1449750363	NUDT15*1, NUDT15*3, NUDT15*5	mercaptopurine	Dosage,Toxicity	no	NUDT15 *3/*3 + *3/*5 is associated with decreased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to NUDT15 *1/*3 + *1/*1.				OR			
1448567530	CYP2C9*1, CYP2C9*3	pioglitazone	Metabolism/PK	yes	CYP2C9 *1/*3 is associated with increased metabolism of pioglitazone as compared to CYP2C9 *1.			< 0.05	OR			
1449750401	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*1 + *1/*3 is associated with decreased dose-adjusted trough concentrations of tacrolimus in children with Organ Transplantation as compared to CYP3A5 *3/*3.				OR			
1449750388	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*1 + *1/*3 is associated with decreased trough concentration of tacrolimus in children with Organ Transplantation as compared to CYP3A5 *3/*3.				OR			
1183702193	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	risperidone	Metabolism/PK	yes	CYP2D6 *4/*5 + *4/*6 + *3/*4 + *4/*4 (assigned as poor metabolizer phenotype) is associated with decreased metabolism of risperidone in healthy individuals as compared to CYP2D6 *1/*1xN (assigned as ultrarapid metabolizer phenotype) .			= 0.003	OR			
1184471333	CYP3A4*1, CYP3A4*22	tacrolimus	Dosage	no	CYP3A4 *1/*22 is not associated with dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A4 *1/*1.	*22		= 0.093	OR			
1448108691	CYP2D6*1, CYP2D6*2, CYP2D6*10, CYP2D6*41	paroxetine	Metabolism/PK	no	CYP2D6 *10/*10 is not associated with metabolism of paroxetine as compared to CYP2D6 *10/*41 + *41/*41 + *1/*10 + *1/*41 + *2/*10 + *2/*41 + *1/*1 + *1/*2 + *2/*2.			= 0.059	OR			
1447682700	CYP4F2*1, CYP4F2*3	warfarin	Dosage	yes	CYP4F2 *3 is associated with increased dose of warfarin as compared to CYP4F2 *1.	*3	*1	= 0.014	OR			
1449750499	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *3/*3 is associated with decreased metabolism of tacrolimus in people with heart transplantation as compared to CYP3A5 *1/*1 + *1/*3.	*1		< 0.05	OR			
1451399960	CYP2C8*1, CYP2C8*2, CYP2C8*3, CYP2C8*4	ibuprofen	Efficacy	no	CYP2C8 *2/*3 + *3/*4 are associated with decreased response to ibuprofen in people with Pain, Postoperative as compared to CYP2C8 *1/*1.			= 0.08				
1451399980	CYP2C9*1, CYP2C9*2, CYP2C9*3	ibuprofen	Efficacy	no	CYP2C9 *2/*2 + *2/*3 + *3/*3 are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C9 *1/*1.			= 0.46				
1183619642	CYP2D6*1, CYP2D6*4, CYP2D6*5	risperidone	Metabolism/PK	yes	CYP2D6 *4 + *5 is associated with decreased metabolism of risperidone in people with Schizophrenia as compared to CYP2D6 *1.			= 0.05	Unknown			
1183620333	CYP2D6*1, CYP2D6*4, CYP2D6*5, CYP2D6*10, CYP2D6*14	risperidone	Metabolism/PK	yes	CYP2D6 *4 + *5 + *10 +*14 is associated with decreased metabolism of risperidone in people with Schizophrenia as compared to CYP2D6 *1.			= 0.001	Unknown			
1447682605	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*8	warfarin	Dosage	yes	CYP2C9 *2 + *3 + *8 are associated with decreased dose of warfarin as compared to CYP2C9 *1.	*2	*1	= 0.014	OR			
1447682605	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*8	warfarin	Dosage	yes	CYP2C9 *2 + *3 + *8 are associated with decreased dose of warfarin as compared to CYP2C9 *1.	*3	*1	= 0.015	OR			
1447682605	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*8	warfarin	Dosage	yes	CYP2C9 *2 + *3 + *8 are associated with decreased dose of warfarin as compared to CYP2C9 *1.	*8	*1	= 0.098	OR			
1451208780	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased metabolism of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.001	Unknown			
1451208780	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased metabolism of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		< 0.001	Unknown			
1451208780	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased metabolism of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.005	Unknown			
1451208780	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased metabolism of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.014	Unknown			
1183621225	CYP2C19*1, CYP2C19*2, CYP2C19*3	omeprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to omeprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.			= 0.0001	OR	4.03	1.97	8.28
1183621202	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole,omeprazole,rabeprazole	Efficacy	no	CYP2C19 *1/*2 + *1/*3 are not associated with response to lansoprazole, omeprazole or rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.			= 0.15	OR	1.35	0.89	2.07
1448616465	CYP2C19*1, CYP2C19*2, CYP2C19*3, CYP2C19*17	voriconazole	Metabolism/PK	not stated	CYP2C19 *2 + *3 are associated with increased exposure to voriconazole in healthy individuals as compared to CYP2C19 *1 + *17.				OR			
827705098	CYP2A6*1A, CYP2A6*1B1	nicotine	Metabolism/PK	yes	CYP2A6 *1A/*1B1 is associated with increased clearance of nicotine as compared to CYP2A6 *1A/*1A.			< 0.05	Unknown			
1447682561	CYP2C9*1, CYP2C9*3	ibuprofen	Metabolism/PK	yes	CYP2C9 *3 is associated with decreased clearance of ibuprofen in healthy individuals as compared to CYP2C9 *1/*1.	*3		< 0.001	OR			
1183621191	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole,omeprazole,rabeprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to lansoprazole, omeprazole or rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*2 + *1/*3.			= 0.0001	OR	1.9	1.38	2.6
1448616451	CYP2C19*1, CYP2C19*2, CYP2C19*3, CYP2C19*17	voriconazole	Metabolism/PK	not stated	CYP2C19 *1 + *17 are associated with decreased exposure to voriconazole in healthy individuals as compared to CYP2C19 *2 + *3.				OR			
1183621166	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole,omeprazole,rabeprazole	Efficacy	yes	CYP2C19 *1/*1 is associated with decreased response to lansoprazole, omeprazole or rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.			= 0.001	OR	2.7	1.46	4.98
1447682551	CYP2C9*1, CYP2C9*2	ibuprofen	Metabolism/PK	yes	CYP2C9 *2 is associated with decreased clearance of ibuprofen in healthy individuals as compared to CYP2C9 *1/*1.	*2		< 0.01	OR			
1183621271	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.			= 0.93	OR	1.04	0.33	2.46
1183621246	CYP2C19*1, CYP2C19*2, CYP2C19*3	lansoprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to lansoprazole in people with Helicobacter Infections as compared to CYP2C19 *2/*2 + *2/*3 + *3/*3.			= 0.25	OR	1.8	0.67	4.35
1450373276	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Arthritis, Rheumatoid or Colitis, Ulcerative as compared to CYP3A5 *3/*3.	*1		< 0.05	OR			
1451208840	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased clearance of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1.			< 0.01	Unknown			
